"","Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths","state"
"62","Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)","Severe Storm",20140427,20140501,1909.9,33,"AL"
"63","South/Southeast Severe Weather (April 2015)","Severe Storm",20150418,20150420,1412.3,0,"AL"
"64","Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1133.6,10,"AL"
"65","West/Northeast/Southeast Drought (2016)","Drought",20160101,20161231,3764.1,0,"AL"
"66","Western/Southeast Wildfires (Summer-Fall 2016)","Wildfire",20160601,20161231,2610.8,21,"AL"
"67","Southern Tornado Outbreak and Western Storms (January 2017)","Severe Storm",20170120,20170122,1171.3,24,"AL"
"68","Central/Southeast Tornado Outbreak (March 2017)","Severe Storm",20170228,20170301,1914.5,6,"AL"
"69","Southeast Freeze (March 2017)","Freeze",20170314,20170316,1060,0,"AL"
"70","South/Southeast Severe Weather (March 2017)","Severe Storm",20170326,20170328,2856.7,0,"AL"
"71","Missouri and Arkansas Flooding and Central Severe Weather (May 2017)","Flooding",20170425,20170507,1758.5,20,"AL"
"72","Hurricane Harvey (August 2017)","Tropical Cyclone",20170825,20170831,130000,89,"AL"
"73","Hurricane Irma (September 2017)","Tropical Cyclone",20170906,20170912,52000,97,"AL"
"74","Southeastern Tornadoes and Severe Weather (March 2018)","Severe Storm",20180318,20180321,1495.7,0,"AL"
"75","Southern and Eastern Tornadoes and Severe Weather (April 2018)","Severe Storm",20180413,20180416,1357.8,3,"AL"
"76","Central and Eastern Tornadoes and Severe Weather (July 2018)","Severe Storm",20180719,20180722,1616.7,0,"AL"
"77","Hurricane Michael (October 2018)","Tropical Cyclone",20181010,20181011,25474.5,49,"AL"
"78","Western Fire Season (Fall 2002)","Wildfire",20020901,20021130,1918.1,21,"AK"
"79","California Wildfires (Fall 2003)","Wildfire",20030901,20031130,5524.5,22,"AK"
"80","Numerous Wildfires (2006)","Wildfire",20060101,20061231,1907.2,28,"AK"
"81","Western Wildfires (Summer 2007)","Wildfire",20070601,20070831,3481.4,12,"AK"
"82","Western Wildfires (Summer-Fall 2009)","Wildfire",20090601,20091130,1234.4,10,"AK"
"83","Western and Alaskan Wildfires (Summer-Fall 2015)","Wildfire",20150601,20151130,3330.8,12,"AK"
"84","Western Storms & Flooding (December 1982-March 1983)","Flooding",19821213,19830331,4094,50,"AZ"
"85","Western Fire Season (Summer-Fall 1994)","Wildfire",19940601,19941130,1276,0,"AZ"
"86","Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7595.6,140,"AZ"
"87","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"AZ"
"88","Western Fire Season (Fall 2002)","Wildfire",20020901,20021130,1918.1,21,"AZ"
"89","California Wildfires (Fall 2003)","Wildfire",20030901,20031130,5524.5,22,"AZ"
"90","Western/Central Drought/Heatwave (Spring-Fall 2003)","Drought",20030301,20031130,7095.1,35,"AZ"
"91","Midwest/Plains/Southeast Drought (Spring-Summer 2006)","Drought",20060301,20060831,7797.3,0,"AZ"
