"","Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths","state"
"487","Severe Storms and Tornadoes (April 2002)","Severe Storm",20020427,20020428,3036.2,7,"IL"
"488","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"IL"
"489","Severe Storms/Hail (April 2003)","Severe Storm",20030404,20030407,2849,3,"IL"
"490","Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,5862.2,51,"IL"
"491","Midwest/Plains Severe Weather (July 2003)","Severe Storm",20030704,20030709,1218.4,7,"IL"
"492","Severe Weather (July 2003)","Severe Storm",20030721,20030723,1431.6,7,"IL"
"493","Western/Central Drought/Heatwave (Spring-Fall 2003)","Drought",20030301,20031130,7095.1,35,"IL"
"494","Severe Storms, Hail, Tornadoes (May 2004)","Severe Storm",20040521,20040527,1409.1,4,"IL"
"495","Midwest Drought (Spring-Summer 2005)","Drought",20050301,20050831,1990.9,0,"IL"
"496","Severe Storms and Tornadoes (March 2006)","Severe Storm",20060308,20060313,1738.9,10,"IL"
"497","Midwest Tornadoes (April 2006)","Severe Storm",20060413,20060416,3150.7,27,"IL"
"498","Central Severe Weather (October 2006)","Severe Storm",20061002,20061005,1142.7,1,"IL"
"499","Spring Freeze (April 2007)","Freeze",20070404,20070410,2596.1,0,"IL"
"500","Western, Central and Northeast Severe Weather (January 2008)","Severe Storm",20080104,20080109,1198,12,"IL"
"501","Midwest Tornadoes and Severe Weather (May 2008)","Severe Storm",20080522,20080527,3695.9,13,"IL"
"502","Midwest/Mid-Atlantic Severe Weather (June 2008)","Severe Storm",20080606,20080612,1995.7,18,"IL"
"503","Midwest Flooding (Summer 2008)","Flooding",20080401,20080630,12149.3,24,"IL"
"504","Hurricane Ike (September 2008)","Tropical Cyclone",20080912,20080914,36598.4,112,"IL"
"505","Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)","Severe Storm",20100510,20100512,3967.2,3,"IL"
"506","Rockies/Central/East Severe Weather (June 2010)","Severe Storm",20100610,20100615,1072.3,2,"IL"
"507","Midwest/Northeast Severe Storms and Flooding (July 2010)","Severe Storm",20100720,20100723,1128.5,0,"IL"
"508","Groundhog Day Blizzard (February 2011)","Winter Storm",20110201,20110203,2099.1,36,"IL"
"509","Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110404,20110405,3247.1,9,"IL"
"510","Ohio Valley/South Tornadoes (April 2011)","Severe Storm",20110419,20110420,1213.8,0,"IL"
"511","Southeast/Ohio Valley/Midwest Tornadoes (April 2011)","Severe Storm",20110425,20110428,11959.6,321,"IL"
"512","Midwest/Southeast Tornadoes (May 2011)","Severe Storm",20110522,20110527,10643.3,177,"IL"
"513","Midwest/Southeast Tornadoes and Severe Weather (June 2011)","Severe Storm",20110618,20110622,1798.6,3,"IL"
"514","Rockies and Midwest Severe Weather (July 2011)","Severe Storm",20110710,20110714,1433.4,2,"IL"
"515","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"IL"
"516","Midwest/Ohio Valley Severe Weather (April-May 2012)","Severe Storm",20120428,20120501,3702.2,1,"IL"
"517","Plains/East/Northeast Severe Weather (June-July 2012)","Severe Storm",20120629,20120702,3264,28,"IL"
"518","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"IL"
"519","Illinois Flooding and Severe Weather (April 2013)","Flooding",20130416,20130419,1206.2,4,"IL"
"520","Midwest/Plains/East Tornadoes (May 2013)","Severe Storm",20130518,20130522,2688.2,27,"IL"
"521","Midwest/Plains/Northeast Tornadoes (May 2013)","Severe Storm",20130527,20130531,2031,10,"IL"
"522","Ohio Valley Tornadoes (November 2013)","Severe Storm",20131117,20131117,1221.5,8,"IL"
"523","Western/Plains Drought/Heatwave (Spring-Fall 2013)","Drought",20130301,20131130,11677.1,53,"IL"
"524","Midwest/Southeast/Northeast Winter Storm (January 2014)","Winter Storm",20140105,20140108,2390,16,"IL"
"525","Plains Severe Weather (April 2014)","Severe Storm",20140402,20140403,1566.4,0,"IL"
"526","Rockies/Midwest/Eastern Severe Weather (May 2014)","Severe Storm",20140518,20140523,4084.6,0,"IL"
"527","Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3258.4,30,"IL"
"528","Midwest/Ohio Valley Severe Weather (April 2015)","Severe Storm",20150407,20150409,1711.1,2,"IL"
"529","Central and Northeast Severe Weather (June 2015)","Severe Storm",20150621,20150625,1289.1,1,"IL"
"530","Texas Tornadoes and Midwest Flooding (December 2015)","Severe Storm",20151226,20151229,2158.2,50,"IL"
"531","Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1133.6,10,"IL"
"532","South/Southeast Tornadoes (April 2016)","Severe Storm",20160426,20160502,2610.2,6,"IL"
"533","Plains Tornadoes and Central Severe Weather (May 2016)","Severe Storm",20160508,20160511,1874.5,2,"IL"
"534","West Virginia Flooding and Ohio Valley Tornadoes (June 2016)","Flooding",20160622,20160624,1056,23,"IL"
"535","Central/Southeast Tornado Outbreak (March 2017)","Severe Storm",20170228,20170301,1914.5,6,"IL"
"536","Midwest Tornado Outbreak (March 2017)","Severe Storm",20170306,20170308,2306.6,2,"IL"
"537","Missouri and Arkansas Flooding and Central Severe Weather (May 2017)","Flooding",20170425,20170507,1758.5,20,"IL"
"538","Midwest Severe Weather (June 2017)","Severe Storm",20170612,20170616,1599.6,0,"IL"
"539","Midwest Severe Weather (June 2017)","Severe Storm",20170627,20170629,1510.5,0,"IL"
"540","Central and Northeastern Severe Weather (May 2018)","Severe Storm",20180501,20180504,1432,0,"IL"
"541","Central and Eastern Severe Weather (May 2018)","Severe Storm",20180513,20180515,1411.1,5,"IL"
"542","Central and Eastern Tornadoes and Severe Weather (July 2018)","Severe Storm",20180719,20180722,1616.7,0,"IL"
"543","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"IN"
"544","Midwest/Plains/Southeast Tornadoes (April 1982)","Severe Storm",19820402,19820404,1319.3,33,"IN"
"545","Severe storms (June 1982)","Severe Storm",19820531,19820610,1310.4,30,"IN"
"546","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"IN"
"547","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"IN"
"548","U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,44408.3,454,"IN"
"549","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"IN"
"550","Severe Storms, Tornadoes (March 1991)","Severe Storm",19910326,19910329,1231.9,0,"IN"
"551","U.S. Drought (Spring-Summer 1991)","Drought",19910301,19910831,5746.5,0,"IN"
"552","Southeast Severe Weather (November 1992)","Severe Storm",19921121,19921123,1221.8,26,"IN"
"553","Midwest Flooding (Summer 1993)","Flooding",19930627,19930815,37729.7,48,"IN"
"554","Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1830.3,70,"IN"
"555","Midwest/Plains Tornadoes (April 1994)","Severe Storm",19940425,19940427,1733.7,3,"IN"
"556","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"IN"
"557","Central and Eastern Winter Storm (Mid-January 1999)","Winter Storm",19990113,19990116,1384.6,0,"IN"
"558","Oklahoma and Kansas Tornadoes (May 1999)","Severe Storm",19990503,19990506,3159.1,55,"IN"
"559","Midwest/Ohio Valley Hail and Tornadoes (April 2001)","Severe Storm",20010406,20010411,4549.5,3,"IN"
"560","Severe Storms and Tornadoes (April 2002)","Severe Storm",20020427,20020428,3036.2,7,"IN"
"561","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"IN"
"562","Severe Storms/Hail (April 2003)","Severe Storm",20030404,20030407,2849,3,"IN"
"563","Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,5862.2,51,"IN"
"564","Midwest/Plains Severe Weather (July 2003)","Severe Storm",20030704,20030709,1218.4,7,"IN"
"565","Severe Weather (July 2003)","Severe Storm",20030721,20030723,1431.6,7,"IN"
"566","Severe Storms, Hail, Tornadoes (May 2004)","Severe Storm",20040521,20040527,1409.1,4,"IN"
"567","Severe Storms and Tornadoes (March 2006)","Severe Storm",20060308,20060313,1738.9,10,"IN"
"568","Midwest/Southeast Tornadoes (April 6-8, 2006)","Severe Storm",20060406,20060408,2084.9,10,"IN"
"569","Midwest Tornadoes (April 2006)","Severe Storm",20060413,20060416,3150.7,27,"IN"
"570","Central Severe Weather (October 2006)","Severe Storm",20061002,20061005,1142.7,1,"IN"
"571","Spring Freeze (April 2007)","Freeze",20070404,20070410,2596.1,0,"IN"
"572","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"IN"
"573","Western, Central and Northeast Severe Weather (January 2008)","Severe Storm",20080104,20080109,1198,12,"IN"
"574","Southeast Tornadoes and Severe Weather (February 2008)","Severe Storm",20080205,20080206,1478.1,57,"IN"
"575","Midwest Tornadoes and Severe Weather (May 2008)","Severe Storm",20080522,20080527,3695.9,13,"IN"
"576","Midwest/Mid-Atlantic Severe Weather (June 2008)","Severe Storm",20080606,20080612,1995.7,18,"IN"
"577","Midwest Flooding (Summer 2008)","Flooding",20080401,20080630,12149.3,24,"IN"
"578","Hurricane Ike (September 2008)","Tropical Cyclone",20080912,20080914,36598.4,112,"IN"
"579","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"IN"
"580","Rockies/Central/East Severe Weather (June 2010)","Severe Storm",20100610,20100615,1072.3,2,"IN"
"581","Groundhog Day Blizzard (February 2011)","Winter Storm",20110201,20110203,2099.1,36,"IN"
"582","Ohio Valley/South Tornadoes (April 2011)","Severe Storm",20110419,20110420,1213.8,0,"IN"
"583","Midwest/Southeast Tornadoes (May 2011)","Severe Storm",20110522,20110527,10643.3,177,"IN"
"584","Midwest/Southeast Tornadoes and Severe Weather (June 2011)","Severe Storm",20110618,20110622,1798.6,3,"IN"
"585","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"IN"
"586","Southeast/Ohio Valley Tornadoes (March 2012)","Severe Storm",20120302,20120303,3535.5,42,"IN"
"587","Midwest/Ohio Valley Severe Weather (April-May 2012)","Severe Storm",20120428,20120501,3702.2,1,"IN"
"588","Plains/East/Northeast Severe Weather (June-July 2012)","Severe Storm",20120629,20120702,3264,28,"IN"
"589","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"IN"
"590","Midwest/Plains Severe Weather (April 2013)","Severe Storm",20130407,20130411,1617.2,1,"IN"
"591","Illinois Flooding and Severe Weather (April 2013)","Flooding",20130416,20130419,1206.2,4,"IN"
"592","Midwest/Plains/Northeast Tornadoes (May 2013)","Severe Storm",20130527,20130531,2031,10,"IN"
"593","Ohio Valley Tornadoes (November 2013)","Severe Storm",20131117,20131117,1221.5,8,"IN"
"594","Midwest/Southeast/Northeast Winter Storm (January 2014)","Winter Storm",20140105,20140108,2390,16,"IN"
"595","Rockies/Midwest/Eastern Severe Weather (May 2014)","Severe Storm",20140518,20140523,4084.6,0,"IN"
"596","Midwest/Ohio Valley Severe Weather (April 2015)","Severe Storm",20150407,20150409,1711.1,2,"IN"
"597","South/Southeast Tornadoes (April 2016)","Severe Storm",20160426,20160502,2610.2,6,"IN"
"598","West Virginia Flooding and Ohio Valley Tornadoes (June 2016)","Flooding",20160622,20160624,1056,23,"IN"
"599","Central/Southeast Tornado Outbreak (March 2017)","Severe Storm",20170228,20170301,1914.5,6,"IN"
"600","Missouri and Arkansas Flooding and Central Severe Weather (May 2017)","Flooding",20170425,20170507,1758.5,20,"IN"
"601","Central and Northeastern Severe Weather (May 2018)","Severe Storm",20180501,20180504,1432,0,"IN"
"602","Central and Eastern Severe Weather (May 2018)","Severe Storm",20180513,20180515,1411.1,5,"IN"
"603","Central and Eastern Tornadoes and Severe Weather (July 2018)","Severe Storm",20180719,20180722,1616.7,0,"IN"
"604","Central/Eastern Drought/Heatwave (Summer-Fall 1980)","Drought",19800601,19801130,33166.2,1260,"IA"
"605","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"IA"
"606","Midwest/Plains/Southeast Tornadoes (April 1982)","Severe Storm",19820402,19820404,1319.3,33,"IA"
"607","Severe storms (June 1982)","Severe Storm",19820531,19820610,1310.4,30,"IA"
"608","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"IA"
"609","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"IA"
"610","U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,44408.3,454,"IA"
"611","Northern Plains Drought (Summer-Fall 1989)","Drought",19890601,19891130,6366.6,0,"IA"
"612","U.S. Drought (Spring-Summer 1991)","Drought",19910301,19910831,5746.5,0,"IA"
"613","Northern Plains and Ohio Valley Severe Weather (July 1993)","Severe Storm",19930708,19930710,1146.3,1,"IA"
"614","Midwest Flooding (Summer 1993)","Flooding",19930627,19930815,37729.7,48,"IA"
"615","Midwest/Plains Tornadoes (April 1994)","Severe Storm",19940425,19940427,1733.7,3,"IA"
"616","Severe Storms, Tornadoes (June 1998)","Severe Storm",19980530,19980602,1810.2,20,"IA"
"617","Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7595.6,140,"IA"
"618","Midwest/Ohio Valley Hail and Tornadoes (April 2001)","Severe Storm",20010406,20010411,4549.5,3,"IA"
"619","Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,5862.2,51,"IA"
"620","Midwest/Plains Severe Weather (July 2003)","Severe Storm",20030704,20030709,1218.4,7,"IA"
"621","Western/Central Drought/Heatwave (Spring-Fall 2003)","Drought",20030301,20031130,7095.1,35,"IA"
"622","Severe Storms, Hail, Tornadoes (May 2004)","Severe Storm",20040521,20040527,1409.1,4,"IA"
"623","Midwest Tornadoes (April 2006)","Severe Storm",20060413,20060416,3150.7,27,"IA"
"624","Midwest/Plains/Southeast Drought (Spring-Summer 2006)","Drought",20060301,20060831,7797.3,0,"IA"
"625","Spring Freeze (April 2007)","Freeze",20070404,20070410,2596.1,0,"IA"
"626","Midwest Tornadoes and Severe Weather (May 2008)","Severe Storm",20080522,20080527,3695.9,13,"IA"
"627","Midwest/Mid-Atlantic Severe Weather (June 2008)","Severe Storm",20080606,20080612,1995.7,18,"IA"
"628","Midwest Flooding (Summer 2008)","Flooding",20080401,20080630,12149.3,24,"IA"
"629","Midwest/Southeast Tornadoes (March 2009)","Severe Storm",20090325,20090328,2001.4,0,"IA"
"630","Midwest/Northeast Severe Storms and Flooding (July 2010)","Severe Storm",20100720,20100723,1128.5,0,"IA"
"631","Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110404,20110405,3247.1,9,"IA"
"632","Southeast/Midwest Tornadoes (April 2011)","Severe Storm",20110408,20110411,2549.9,0,"IA"
"633","Mississippi River flooding (April-May 2011)","Flooding",20110401,20110531,3493.6,7,"IA"
"634","Missouri River flooding (May-June 2011)","Flooding",20110501,20110630,2342.6,5,"IA"
"635","Rockies and Midwest Severe Weather (July 2011)","Severe Storm",20110710,20110714,1433.4,2,"IA"
"636","Midwest/Southeast Severe Weather (August 2011)","Severe Storm",20110817,20110818,1347.1,0,"IA"
"637","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"IA"
"638","Midwest Tornadoes (April 2012)","Severe Storm",20120413,20120414,1269.7,6,"IA"
"639","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"IA"
"640","Midwest/Plains/East Tornadoes (May 2013)","Severe Storm",20130518,20130522,2688.2,27,"IA"
"641","Western/Plains Drought/Heatwave (Spring-Fall 2013)","Drought",20130301,20131130,11677.1,53,"IA"
"642","Rockies/Midwest/Eastern Severe Weather (May 2014)","Severe Storm",20140518,20140523,4084.6,0,"IA"
"643","Rockies/Central Plains Severe Weather (June 2014)","Severe Storm",20140603,20140605,2111.2,2,"IA"
"644","Midwest/Ohio Valley Severe Weather (April 2015)","Severe Storm",20150407,20150409,1711.1,2,"IA"
"645","Southern Plains Tornadoes (May 2015)","Severe Storm",20150506,20150510,1399.3,4,"IA"
"646","Central and Northeast Severe Weather (June 2015)","Severe Storm",20150621,20150625,1289.1,1,"IA"
"647","Central/Southeast Tornado Outbreak (March 2017)","Severe Storm",20170228,20170301,1914.5,6,"IA"
"648","Midwest Tornado Outbreak (March 2017)","Severe Storm",20170306,20170308,2306.6,2,"IA"
"649","Midwest Severe Weather (June 2017)","Severe Storm",20170612,20170616,1599.6,0,"IA"
"650","Midwest Severe Weather (June 2017)","Severe Storm",20170627,20170629,1510.5,0,"IA"
"651","Central and Northeastern Severe Weather (May 2018)","Severe Storm",20180501,20180504,1432,0,"IA"
"652","Central and Eastern Severe Weather (May 2018)","Severe Storm",20180513,20180515,1411.1,5,"IA"
"653","Central and Eastern Tornadoes and Severe Weather (July 2018)","Severe Storm",20180719,20180722,1616.7,0,"IA"
"654","Central/Eastern Drought/Heatwave (Summer-Fall 1980)","Drought",19800601,19801130,33166.2,1260,"KS"
"655","Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)","Severe Storm",19810505,19810510,1188.2,20,"KS"
"656","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"KS"
"657","Midwest/Plains/Southeast Tornadoes (April 1982)","Severe Storm",19820402,19820404,1319.3,33,"KS"
"658","Severe storms (June 1982)","Severe Storm",19820531,19820610,1310.4,30,"KS"
"659","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"KS"
"660","U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,44408.3,454,"KS"
"661","Northern Plains Drought (Summer-Fall 1989)","Drought",19890601,19891130,6366.6,0,"KS"
"662","Severe Storms, Tornadoes (March 1991)","Severe Storm",19910326,19910329,1231.9,0,"KS"
"663","U.S. Drought (Spring-Summer 1991)","Drought",19910301,19910831,5746.5,0,"KS"
"664","Severe Storms, Hail (June 1992)","Severe Storm",19920619,19920620,1391.3,0,"KS"
"665","Northern Plains and Ohio Valley Severe Weather (July 1993)","Severe Storm",19930708,19930710,1146.3,1,"KS"
"666","Midwest Flooding (Summer 1993)","Flooding",19930627,19930815,37729.7,48,"KS"
"667","Midwest/Plains Tornadoes (April 1994)","Severe Storm",19940425,19940427,1733.7,3,"KS"
"668","Southern Plains Drought (Spring-Summer 1996)","Drought",19960301,19960831,2991.7,0,"KS"
"669","Oklahoma and Kansas Tornadoes (May 1999)","Severe Storm",19990503,19990506,3159.1,55,"KS"
"670","Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7595.6,140,"KS"
"671","Midwest/Ohio Valley Hail and Tornadoes (April 2001)","Severe Storm",20010406,20010411,4549.5,3,"KS"
"672","Severe Storms and Tornadoes (April 2002)","Severe Storm",20020427,20020428,3036.2,7,"KS"
"673","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"KS"
"674","Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,5862.2,51,"KS"
"675","Western/Central Drought/Heatwave (Spring-Fall 2003)","Drought",20030301,20031130,7095.1,35,"KS"
"676","Severe Storms and Tornadoes (March 2006)","Severe Storm",20060308,20060313,1738.9,10,"KS"
"677","Midwest/Southeast Tornadoes (April 6-8, 2006)","Severe Storm",20060406,20060408,2084.9,10,"KS"
"678","Midwest/Plains/Southeast Drought (Spring-Summer 2006)","Drought",20060301,20060831,7797.3,0,"KS"
"679","Spring Freeze (April 2007)","Freeze",20070404,20070410,2596.1,0,"KS"
"680","Western, Central and Northeast Severe Weather (January 2008)","Severe Storm",20080104,20080109,1198,12,"KS"
"681","Midwest Tornadoes and Severe Weather (May 2008)","Severe Storm",20080522,20080527,3695.9,13,"KS"
"682","Midwest/Mid-Atlantic Severe Weather (June 2008)","Severe Storm",20080606,20080612,1995.7,18,"KS"
"683","Midwest Flooding (Summer 2008)","Flooding",20080401,20080630,12149.3,24,"KS"
"684","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"KS"
"685","Midwest/Southeast Tornadoes (March 2009)","Severe Storm",20090325,20090328,2001.4,0,"KS"
"686","Midwest, South and East Severe Weather (June 2009)","Severe Storm",20090609,20090612,1620.3,0,"KS"
"687","Southwest/Great Plains Drought (2009)","Drought",20090101,20091231,4260.3,0,"KS"
"688","Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)","Severe Storm",20100510,20100512,3967.2,3,"KS"
"689","Rockies/Central/East Severe Weather (June 2010)","Severe Storm",20100610,20100615,1072.3,2,"KS"
"690","Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110404,20110405,3247.1,9,"KS"
"691","Southeast/Midwest Tornadoes (April 2011)","Severe Storm",20110408,20110411,2549.9,0,"KS"
"692","Midwest/Southeast Tornadoes (May 2011)","Severe Storm",20110522,20110527,10643.3,177,"KS"
"693","Midwest/Southeast Tornadoes and Severe Weather (June 2011)","Severe Storm",20110618,20110622,1798.6,3,"KS"
"694","Missouri River flooding (May-June 2011)","Flooding",20110501,20110630,2342.6,5,"KS"
"695","Midwest/Southeast Severe Weather (August 2011)","Severe Storm",20110817,20110818,1347.1,0,"KS"
"696","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"KS"
"697","Midwest Tornadoes (April 2012)","Severe Storm",20120413,20120414,1269.7,6,"KS"
"698","Southern Plains/Midwest/Northeast Severe Weather (May 2012)","Severe Storm",20120525,20120530,2603.2,1,"KS"
"699","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"KS"
"700","Midwest/Plains Severe Weather (April 2013)","Severe Storm",20130407,20130411,1617.2,1,"KS"
"701","Midwest/Plains/East Tornadoes (May 2013)","Severe Storm",20130518,20130522,2688.2,27,"KS"
"702","Midwest/Plains/Northeast Tornadoes (May 2013)","Severe Storm",20130527,20130531,2031,10,"KS"
"703","Western/Plains Drought/Heatwave (Spring-Fall 2013)","Drought",20130301,20131130,11677.1,53,"KS"
"704","Plains Severe Weather (April 2014)","Severe Storm",20140402,20140403,1566.4,0,"KS"
"705","Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)","Severe Storm",20140427,20140501,1909.9,33,"KS"
"706","Rockies/Central Plains Severe Weather (June 2014)","Severe Storm",20140603,20140605,2111.2,2,"KS"
"707","Rockies/Plains Severe Weather (September 2014)","Severe Storm",20140929,20141002,1540.4,0,"KS"
"708","Western Drought (2014)","Drought",20140101,20141231,4367.3,0,"KS"
"709","Midwest/Ohio Valley Severe Weather (April 2015)","Severe Storm",20150407,20150409,1711.1,2,"KS"
"710","South/Southeast Severe Weather (April 2015)","Severe Storm",20150418,20150420,1412.3,0,"KS"
"711","Southern Plains Tornadoes (May 2015)","Severe Storm",20150506,20150510,1399.3,4,"KS"
"712","Texas and Oklahoma Flooding and Severe Weather (May 2015)","Flooding",20150523,20150526,2750.7,31,"KS"
"713","Plains Tornadoes and Central Severe Weather (May 2016)","Severe Storm",20160508,20160511,1874.5,2,"KS"
"714","Rockies/Central Tornadoes and Severe Weather (May 2016)","Severe Storm",20160521,20160526,1249.4,0,"KS"
"715","Midwest Tornado Outbreak (March 2017)","Severe Storm",20170306,20170308,2306.6,2,"KS"
"716","Midwest Severe Weather (June 2017)","Severe Storm",20170612,20170616,1599.6,0,"KS"
"717","Central and Northeastern Severe Weather (May 2018)","Severe Storm",20180501,20180504,1432,0,"KS"
"718","Central and Eastern Severe Weather (May 2018)","Severe Storm",20180513,20180515,1411.1,5,"KS"
"719","Central and Eastern Tornadoes and Severe Weather (July 2018)","Severe Storm",20180719,20180722,1616.7,0,"KS"
"720","Southwest/Southern Plains Drought (Summer-Fall 2018)","Drought",20180601,20181230,3049.8,0,"KS"
"721","Central/Eastern Drought/Heatwave (Summer-Fall 1980)","Drought",19800601,19801130,33166.2,1260,"KY"
"722","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"KY"
"723","Midwest/Plains/Southeast Tornadoes (April 1982)","Severe Storm",19820402,19820404,1319.3,33,"KY"
"724","Severe storms (June 1982)","Severe Storm",19820531,19820610,1310.4,30,"KY"
"725","Southeast Drought (Summer 1983)","Drought",19830601,19830831,7795.5,0,"KY"
"726","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"KY"
"727","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"KY"
"728","U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,44408.3,454,"KY"
"729","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"KY"
"730","Severe Storms, Tornadoes (March 1991)","Severe Storm",19910326,19910329,1231.9,0,"KY"
"731","Southeast Severe Weather (November 1992)","Severe Storm",19921121,19921123,1221.8,26,"KY"
"732","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"KY"
"733","Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1830.3,70,"KY"
"734","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"KY"
"735","Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5014.9,187,"KY"
"736","Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1583.4,67,"KY"
"737","Severe Storms, Tornadoes (June 1998)","Severe Storm",19980530,19980602,1810.2,20,"KY"
"738","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"KY"
"739","Oklahoma and Kansas Tornadoes (May 1999)","Severe Storm",19990503,19990506,3159.1,55,"KY"
"740","Eastern Drought/Heatwave (Summer 1999)","Drought",19990601,19990831,3923.4,502,"KY"
"741","Midwest/Ohio Valley Hail and Tornadoes (April 2001)","Severe Storm",20010406,20010411,4549.5,3,"KY"
"742","Severe Storms and Tornadoes (April 2002)","Severe Storm",20020427,20020428,3036.2,7,"KY"
"743","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"KY"
"744","Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,5862.2,51,"KY"
"745","Severe Weather (July 2003)","Severe Storm",20030721,20030723,1431.6,7,"KY"
"746","Severe Storms, Hail, Tornadoes (May 2004)","Severe Storm",20040521,20040527,1409.1,4,"KY"
"747","Hurricane Ivan (September 2004)","Tropical Cyclone",20040912,20040921,28495.7,57,"KY"
"748","Hurricane Katrina (August 2005)","Tropical Cyclone",20050825,20050830,168762.2,1833,"KY"
"749","Severe Storms and Tornadoes (March 2006)","Severe Storm",20060308,20060313,1738.9,10,"KY"
"750","Midwest/Southeast Tornadoes (April 6-8, 2006)","Severe Storm",20060406,20060408,2084.9,10,"KY"
"751","Spring Freeze (April 2007)","Freeze",20070404,20070410,2596.1,0,"KY"
"752","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"KY"
"753","Southeast Tornadoes and Severe Weather (February 2008)","Severe Storm",20080205,20080206,1478.1,57,"KY"
"754","Hurricane Ike (September 2008)","Tropical Cyclone",20080912,20080914,36598.4,112,"KY"
"755","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"KY"
"756","Southeast/Ohio Valley Severe Weather (February 2009)","Severe Storm",20090210,20090211,2123,10,"KY"
"757","Midwest/Southeast Tornadoes (March 2009)","Severe Storm",20090325,20090328,2001.4,0,"KY"
